function	description	ARTIB17W0	ARTIB17W4	ARTIB18W0	ARTIB18W4	ARTIB19W0	ARTIB19W4	ARTIB20W0	ARTIB20W4	ARTIB21W0	ARTIB21W4	ARTIB22W0	ARTIB22W4	ARTIB23W0	ARTIB23W4	ARTIB24W0	ARTIB24W4	ARTIB25W0	ARTIB25W4	ARTIB26W0	ARTIB26W4	ARTIB27W0	ARTIB27W4	ARTIB28W0	ARTIB28W4	ARTIB29W0	ARTIB29W4	ARTIB30W0	ARTIB30W4	ARTIB31W0	ARTIB31W4	ARTIB32W0	ARTIB32W4	ARTIB33W0	ARTIB33W4	ARTIB34W0	ARTIB34W4	ARTIB35W0	ARTIB35W4	ARTIB36W0	ARTIB36W4	ARTIB37W0	ARTIB37W4	ARTIB38W0	ARTIB38W4	PMT11W0	PMT12W0	PMT1W0	PMT27W0	PMT34W0	PMT34W48	PMT35W0	PMT35W48	PMT36W0	PMT37W0	PMT37W48	PMT40W0	PMT40W48	PMT43W0	PMT43W48	PMT44W0	PMT46W48	PMT48W0	PMT4W0	PMT4W48	PMT50W48	PMT52W0	PMT52W48	PMT58W0	PMT60W0	PMT60W48	PMT62W0	PMT62W48	PMT63W0	PMT64W0	PMT69W0	PMT69W48	PMT7W0	PMT7W48	R10W24	R12W24	R14W48	R15W48	R16W48	R17W48	R19W48	R20W48	R21W48	R22W48	R24W48	R25W48	R26W48	R29W48	R30W48	R4W48	R5W48
K02010	afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]	9784.87	6939.33	7371.87	9790.33	9167.14	10605.53	5180.0	6310.860000000001	6866.9	7752.49	11812.53	11826.43	10862.03	13381.8	6633.74	5338.49	6052.4	7820.17	5166.07	6737.74	7401.889999999999	6541.05	12238.4	8581.470000000001	13227.0	7855.0	8401.4	7351.47	8044.49	8355.470000000001	9304.01	8427.2	9520.7	9673.47	5838.67	12569.3	12440.9	7913.3	6621.389999999999	6988.83	12253.67	8910.880000000001	12682.33	14608.5	14660.96	7366.309999999999	12152.03	10156.47	9042.81	10023.69	16641.07	12243.37	25290.870000000003	16767.9	15622.08	14915.12	18746.28	12997.24	9983.07	21170.67	21279.6	27581.19	11948.87	12949.5	18934.17	27876.5	3343.33	13545.65	10990.4	10393.12	13445.669999999998	18954.54	13763.0	7673.64	14153.67	5032.6	13150.53	13189.5	13547.63	22219.14	10684.9	11354.67	8718.9	12291.57	7349.43	11962.83	13242.91	7948.5	9553.1	8179.03	8347.73	8806.869999999999	9790.96	13706.37	11165.9
K02011	afuB, fbpB; iron(III) transport system permease protein	3006.67	3628.33	3996.17	3314.33	4004.34	831.5300000000001	2872.5	304.86	913.5	2061.59	761.3299999999999	857.8299999999999	2158.83	4391.4	928.34	1687.4900000000002	167.1	1961.97	569.87	573.49	2765.49	2986.75	3179.0	3605.67	6628.5	1678.0	479.4	714.6700000000001	1350.19	353.67	1003.01	840.0	1023.5	1287.67	4288.67	5289.5	8263.5	1610.5	554.19	343.33	2451.67	1785.88	1945.33	1697.5	6845.56	2750.51	6859.83	6696.67	4676.41	1824.89	9929.67	8682.17	15559.17	10595.0	7065.68	5774.49	9221.18	6933.34	5380.67	12623.67	13071.5	24674.99	7415.67	5321.5	12240.17	846.5	871.3299999999999	9268.65	4552.67	3477.99	998.87	7807.34	5898.0	807.8400000000001	8101.67	603.0	7777.33	3561.5	6618.83	17114.940000000002	7183.5	8933.17	5296.3	9134.17	4609.83	5971.33	6630.91	4832.0	7427.5	5097.83	4850.33	3626.67	6959.16	5733.34	6669.5
K02012	afuA, fbpA; iron(III) transport system substrate-binding protein	7961.34	5636.0	6950.84	6669.66	7651.68	5437.8	5107.16	4159.55	860.5	718.1500000000001	6751.0	6508.83	6875.5	7323.93	5325.9400000000005	4092.89	675.07	3789.37	824.47	878.3399999999999	5824.82	5006.75	8783.33	6347.34	12091.0	5156.0	3672.4	3415.67	1322.69	761.6700000000001	4312.81	5918.0	5439.17	6574.67	5463.34	10994.5	3125.83	1877.17	1603.21	2362.33	7586.34	5336.88	9202.0	10137.0	13762.9	3987.84	9796.16	13036.51	6395.969999999999	2886.09	18125.34	14993.18	32277.17	18470.66	11492.52	14440.49	17239.02	11749.01	9700.01	21752.01	22623.16	13601.82	10247.34	10294.17	19882.84	17583.5	1604.66	14846.32	7920.83	8143.32	8656.74	12501.01	12296.34	6064.52	13589.0	1289.0	13698.5	9778.83	14554.33	24297.78	6893.5	11061.17	8577.470000000001	13884.17	8747.99	10475.33	10141.07	8515.5	10689.84	8095.99	7507.99	5051.67	10769.32	12404.67	10131.5
K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]	52348.52	43571.5	48933.16	57525.84	52721.23	53054.03	45101.02	43921.06	49395.44	41989.05	60195.8	65959.26999999999	55528.37	62313.17999999999	36878.89	37943.34	58511.72	47601.51	44235.060000000005	45878.35	64689.31	49801.55	56853.27	58847.96	47869.3	31722.2	52373.27	60464.33	57080.39000000001	64048.28	59001.09999999999	54164.87	54058.85	48018.31	66704.47	50144.62	69807.22	73567.15	77164.23	55475.85	65302.13	56704.83	58695.77	74851.63	71693.47	79245.22	71072.15	61032.22	71663.47	69911.06999999999	92126.13	73789.09	117236.07	80353.13	63342.93	90186.14	106981.41	80414.54	66906.31	109826.8	91572.17	160080.40999999997	101444.88	93887.42	108349.97	103145.77	23855.27	104980.28	81109.22	82583.12	94126.88	129704.06	89404.63	62236.95	93609.53	83616.64	93449.63	86345.98000000001	70799.0	103410.85	115718.63	73782.93	48760.29	55595.84	33212.61	51038.25	69202.62	40280.55	54844.68000000001	44430.57	44485.42	38772.54	52683.130000000005	86473.92000000001	66927.3
K02014	TC.FEV.OM; iron complex outermembrane recepter protein	14619.12	10675.18	55098.03	16633.19	43469.44	6656.879999999999	41126.51	6212.84	1110.46	2347.97	9111.23	7179.4	20153.42	10324.57	13187.3	5237.72	1335.65	2327.8500000000004	4677.700000000001	9269.37	9303.78	6834.7	12305.83	7755.019999999999	9164.45	2868.2	3648.64	2635.15	3316.58	2233.45	9550.25	7069.95	9210.82	16814.05	561.5699999999999	4936.79	35515.33	14618.79	9849.93	3666.1	8167.07	5919.29	12526.77	8784.8	71193.01000000001	90011.66	56120.18	68318.05	40881.43	5856.799999999999	131752.06	65901.60999999999	115292.15	64934.27	64399.15	88057.3	103650.18	87861.56999999999	61315.34	113009.14	87558.45000000001	27343.85	72602.31999999999	3070.67	117365.12	102477.6	13303.38	54941.32	81397.12	73439.51999999999	71496.58	99812.12	105610.38999999998	55621.01	103217.17	6363.25	85774.37999999999	47933.33	82502.76000000001	105923.78	180481.34000000003	70786.03000000001	40370.96	49241.55	37842.08	42485.0	85638.3	54220.55	58825.34	46738.01	65545.59999999999	29210.04	54539.31	125158.16	57995.66999999999
K02015	ABC.FEV.P; iron complex transport system permease protein	56339.07	46256.84	53407.29	67977.84	56610.13	59137.58	48612.72	46952.54	57247.2	46669.27999999999	62282.69	65373.92	65159.47	78653.21	36282.43	32389.86	60416.9	43657.45	47388.52	49495.48	83207.82	61679.75	60923.73	64702.31999999999	52766.46	33310.95	49211.98	66545.73	46579.37	59662.61	63946.73	61050.87	65101.990000000005	56231.51	87210.82999999999	50001.66	73844.08	77727.35	98621.97999999998	72343.8	78741.12	69350.18	54795.6	67663.8	74980.98999999999	87050.45999999999	70315.11	62250.75	82681.66	84236.43999999999	88173.56	74381.54999999999	125344.17	81920.20000000001	68633.36000000002	84523.13	113116.98	80792.23000000001	73681.74	117186.63	95713.57	149515.39	86501.68	88517.75	109885.72	115701.6	24916.5	110097.92	79776.98000000001	85765.5	104020.46	132481.07	92062.13	53680.66	102342.63999999998	102411.12	94103.43	95437.48	74693.69	109091.06	117508.43	82158.62	56700.42	57679.44	34607.350000000006	52776.22	70433.54	40126.88	59205.42	46207.7	45967.94	34810.7	53345.69	88563.86	70730.82
K02016	ABC.FEV.S; iron complex transport system substrate-binding protein	48859.94	41976.51	48387.66	56327.67	51629.77	51853.54	44948.380000000005	40027.02	44998.27	36075.69	54855.22	56726.85	56623.01	62563.75	30861.230000000003	26480.63	53220.03	41403.09	43941.89000000001	44987.82000000001	63955.64	48425.8	56802.6	57183.79	46448.3	29767.95	45122.09	58903.96000000001	45291.25	57365.57	58323.76999999999	57436.08	53581.29	47935.98	63620.76999999999	42544.63	67684.54999999999	74294.76000000001	75817.82	54952.880000000005	61889.97	53604.4	53544.600000000006	69407.3	63610.26000000001	81252.1	62095.98	48729.22	68644.53	67834.41	82074.13	61527.76	129940.27	73259.26999999999	64066.94	77719.64	104343.25	74828.63	64607.31	111381.97	89800.0	149005.16999999998	78957.55	72284.42	99233.89	100322.6	21235.17	107681.51	76325.88	75469.79	90132.38	125524.44	89244.63	55667.46000000001	87717.70999999999	72256.89	90930.13	88550.15	63376.17	97451.73	107960.83	76007.0	50352.42	52190.68	32868.94	49179.55	68874.68	38141.38	52002.350000000006	39019.9	43688.3	35804.189999999995	49531.29	81711.89	59199.05
K02017	modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]	13159.0	12559.5	12045.25	15780.75	13532.59	17680.989999999998	11270.75	14227.92	16900.0	13354.23	17524.42	20786.75	17923.47	20567.2	8159.92	10245.16	22836.620000000003	17693.68	19026.74	17660.44	17272.92	13655.0	17784.0	18224.83	16204.83	12476.0	16188.33	23750.7	22239.87	20536.75	17501.42	17753.33	17625.17	15314.0	13145.08	13945.87	23072.36	26214.5	21769.0	19917.17	18243.67	17249.21	15590.08	21152.5	15400.19	14559.17	20363.0	14857.75	18355.99	21375.8	19052.5	14244.58	17627.8	20030.75	18239.92	19042.0	24963.92	16572.67	13676.75	28781.25	23130.0	48100.45	18328.5	23273.75	23404.75	31707.75	6997.58	34961.630000000005	16241.26	23921.17	18929.67	47469.5	27544.2	13810.84	35899.72	22941.75	19138.58	23166.5	17880.91	27151.47	23705.0	17973.04	14939.65	13991.5	11224.83	14063.5	17939.93	11063.5	14157.57	11852.33	14158.41	7709.92	14304.75	20463.59	16033.58
K02018	modB; molybdate transport system permease protein	14764.0	13247.0	14499.08	16761.75	16705.09	18188.99	15887.92	14791.61	17293.0	13740.96	19316.92	22054.75	18854.3	21237.53	8350.42	10429.16	24441.620000000003	18766.01	19644.24	18642.44	18095.99	14853.5	18973.86	18723.33	16630.83	12653.0	16429.33	24249.7	22429.54	23405.42	17905.42	18757.83	17950.17	17323.5	13505.08	14561.7	25052.36	29192.33	23565.69	21890.17	19360.83	17949.54	16785.58	22792.0	17879.190000000002	17980.67	22385.83	17721.75	19437.22	21738.63	21842.0	19323.58	30829.3	22422.75	19966.42	22877.79	33348.09	20534.67	16615.25	34231.08	28242.5	50467.45	20894.33	23493.75	30208.25	35852.25	7723.08	44071.96	18953.26	25944.84	20952.71	56995.0	33746.7	16676.34	41079.72	23515.75	26259.08	26211.83	19850.24	36692.47	26517.5	23484.04	18782.15	18998.0	12626.83	15187.0	19422.1	12373.0	17055.57	13582.83	16044.41	8795.92	17078.11	23749.59	21067.41
K02019	modE; molybdate transport system regulatory protein	1612.5	1071.5	1186.5	1955.5	3626.67	1067.24	2672.0	1184.5	1002.5	1388.37	414.17	631.0	2131.17	2803.3	438.17	550.5	2104.87	2520.93	1241.07	636.15	1132.0	1357.0	2536.0	2455.33	745.3299999999999	268.0	1392.88	1868.2	2826.74	889.0	1142.17	690.3299999999999	1071.17	520.5	672.3299999999999	642.6700000000001	5385.52	2114.0	2032.0	3065.17	1360.67	1099.92	2232.33	1154.5	3107.19	3291.17	1441.5	2409.0	2653.13	714.8	3381.5	1833.33	2716.8	3808.0	2243.67	3215.0	5528.67	1886.67	1941.5	4554.5	4383.0	3051.77	4070.5	1495.5	3913.0	2863.5	315.83000000000004	10267.13	4925.83	5554.17	2432.17	4728.5	2645.5	2621.67	5086.47	2524.0	5993.0	5719.5	4523.84	7009.299999999999	3933.5	4641.5	3747.73	4582.0	1496.5	1527.5	3216.18	2451.5	4382.67	2811.33	1931.33	1964.5	3579.5	5565.17	2855.83
