function	description	ARTIB17W0	ARTIB17W4	ARTIB18W0	ARTIB18W4	ARTIB19W0	ARTIB19W4	ARTIB20W0	ARTIB20W4	ARTIB21W0	ARTIB21W4	ARTIB22W0	ARTIB22W4	ARTIB23W0	ARTIB23W4	ARTIB24W0	ARTIB24W4	ARTIB25W0	ARTIB25W4	ARTIB26W0	ARTIB26W4	ARTIB27W0	ARTIB27W4	ARTIB28W0	ARTIB28W4	ARTIB29W0	ARTIB29W4	ARTIB30W0	ARTIB30W4	ARTIB31W0	ARTIB31W4	ARTIB32W0	ARTIB32W4	ARTIB33W0	ARTIB33W4	ARTIB34W0	ARTIB34W4	ARTIB35W0	ARTIB35W4	ARTIB36W0	ARTIB36W4	ARTIB37W0	ARTIB37W4	ARTIB38W0	ARTIB38W4	PMT11W0	PMT12W0	PMT1W0	PMT27W0	PMT34W0	PMT34W48	PMT35W0	PMT35W48	PMT36W0	PMT37W0	PMT37W48	PMT40W0	PMT40W48	PMT43W0	PMT43W48	PMT44W0	PMT46W48	PMT48W0	PMT4W0	PMT4W48	PMT50W48	PMT52W0	PMT52W48	PMT58W0	PMT60W0	PMT60W48	PMT62W0	PMT62W48	PMT63W0	PMT64W0	PMT69W0	PMT69W48	PMT7W0	PMT7W48	R10W24	R12W24	R14W48	R15W48	R16W48	R17W48	R19W48	R20W48	R21W48	R22W48	R24W48	R25W48	R26W48	R29W48	R30W48	R4W48	R5W48
EC:5.1.2.3	3-hydroxybutyryl-CoA epimerase	0.0	0.0	0.0	0.0	66.0	309.34	198.0	360.0	6.66	9.34	35.34	10.0	441.34	1856.0	0.0	58.0	22.34	221.66	0.0	1.2	171.34	422.0	0.0	42.66	145.66	0.0	172.28	0.0	840.64	570.0	0.0	48.66	841.34	0.0	122.86	5.34	5908.66	0.0	390.0	27.34	379.0	251.42	4.0	0.0	122.38	0.0	0.0	4.0	4162.0	59.34	0.0	12.66	1296.0	0.0	2.0	0.0	0.0	5.34	0.0	0.0	0.0	1139.8000000000002	0.0	0.0	412.0	0.0	8.66	96.66	3966.66	104.84	61.34	34.0	0.0	547.34	21.0	128.0	0.0	0.0	176.66	0.0	118.66	0.0	23.46	0.0	0.0	6.0	96.66	58.0	7.34	12.66	6.66	0.0	0.0	7.34	7.99
EC:5.1.3.1	Ribulose-phosphate 3-epimerase	39283.07	30613.83	32267.97	37273.25	37663.3	31995.76	28994.56	27442.92	34428.39	30785.96	36505.92	43718.34	40641.75	40712.16	25560.56	30491.32	34723.46000000001	26993.79	30758.01	26904.14	36416.83	29238.0	37813.76	39157.17	35258.06	22071.45	32249.33	34334.0	37246.0	33464.01	36187.38	39818.3	34583.07	32870.34	33049.95	38002.46	38595.03	44160.12	47582.92	38564.56	40179.9	38643.21	38075.52	44952.130000000005	53125.69	50050.630000000005	57182.88	48677.08	47528.11	46311.15000000001	73139.31999999999	56127.57	76406.32	60160.01	52935.77	63271.55	73727.04999999999	59822.71000000001	45072.16	71510.40000000001	64243.91	94950.07	79547.03	72187.92	74884.54999999999	96659.02	17243.960000000003	62389.86	51652.31999999999	57464.380000000005	49424.74	92475.65	67646.6	48099.8	69224.18	65694.12	68436.84999999999	71803.66	52837.74	62314.12	74724.62999999999	49919.29000000001	34833.18	36698.27	24950.35	36346.11	50343.39	32756.55	40895.17	33624.55	32675.45	24371.02	37920.72	63396.06999999999	49572.91
EC:5.1.3.10	CDP-paratose 2-epimerase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	718.0	30.0	538.0	608.0	468.0	0.0	0.0	0.0	356.0	0.0	0.0	0.0	10.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	74.0	0.0	72.0	0.0	102.0	124.0	23.0	0.0	752.0	136.0	144.0	0.0	7.0	32.0	0.0	0.0
EC:5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase	30072.9	23375.84	28117.55	31206.01	31116.55	25253.54	23319.32	20912.67	31375.89	26893.6	30051.67	36813.26	31604.120000000003	33440.83	20271.31	26498.33	30761.94	24821.22	24601.7	21873.39	27728.18	23422.75	26674.9	28500.5	26332.120000000003	18011.95	27047.08	29525.460000000003	31848.83	29237.26	28606.79	28262.97	29331.57	26788.84	23729.03	30368.59	31553.660000000003	35823.13	44744.09	35170.23	30094.06	32042.33	25962.6	33973.3	43690.82	44051.62	49742.88	42699.66	41894.82	36895.84	61457.64	47912.48	46853.850000000006	48687.77	45247.85	52535.93	59812.45	49479.37	36782.4	56948.64000000001	50090.24	52994.030000000006	70521.19	55427.5	63426.69	78045.59999999999	16272.44	59703.97	45728.61	52053.65	38615.41	82364.81	56159.06	38812.12	71376.13	53686.09	49670.1	52581.83	43128.77	51771.81	51266.12	40752.03	30040.770000000004	29441.94	21396.52	30403.94	45791.96	27998.05	34790.93	29038.06	28402.61	18374.85	31271.95	51581.64	42816.84
EC:5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	18623.32	13724.17	23263.71	21502.59	28096.28	11000.8	23573.59	10073.27	7600.99	6448.63	17266.27	15128.16	15409.02	11515.4	10699.63	7557.22	13302.21	9368.69	10253.96	12771.51	14111.9	10980.9	17676.08	15413.57	14144.76	8069.65	9462.81	13371.83	7114.23	15383.29	13547.22	14228.48	15943.84	16686.57	11601.0	12222.96	24020.93	22792.83	19769.910000000003	14370.68	20261.89	14484.94	17657.620000000003	24344.1	42675.67	51928.350000000006	22770.78	41269.05	18905.9	10192.56	49583.41	42741.740000000005	61457.55	41275.95	35856.97	41966.93	53269.95	39331.94	31337.59	50036.72	42888.95	42042.8	37054.5	17053.17	47336.73	73407.45000000001	10881.16	40639.78	30813.32	48883.94	32944.34	57138.18	49515.17	23952.35	51760.71	11791.0	49268.05	34290.83	41177.84	44156.87	53306.48	34341.55	23565.89	27502.07	17990.69	23407.74	36489.95	23531.93	30509.24	27684.72	25650.82	16359.56	26217.71	51580.91	41274.19
EC:5.1.3.15	Glucose-6-phosphate 1-epimerase	53.0	212.66000000000005	96.0	38.0	311.5	567.0	156.33	337.67	799.33	1872.67	305.67	418.0	351.33000000000004	1171.0	641.6600000000001	1272.33	612.33	1353.33	257.17	169.0	197.67	295.0	8.0	35.33	102.83	30.0	1454.48	394.0	2726.32	1391.33	392.67	398.0	693.1700000000001	190.0	84.33	201.0	7829.0	572.3299999999999	314.67	432.67	360.33	277.04	48.67	28.33	1592.1899999999998	324.67	612.67	87.67	2449.0	1472.67	211.67	385.33	1119.0	1358.5	29.67	319.0	465.0	386.67	358.67	696.0	307.0	12073.57	913.33	235.67	732.0	229.67	181.33	4421.33	2366.01	380.0	215.67	320.0	7.0	2116.67	155.32999999999998	1423.67	40.33	113.83	151.66	87.17	3559.66	1054.17	166.86	476.0	116.33	183.67	529.16	450.17	711.67	158.66	950.0	2171.0	96.0	168.01	25.33
EC:5.1.3.2	UDP-glucose 4-epimerase	72556.64	45566.16	54502.44	67574.75	64094.79	59919.77	48209.39	48568.46	60343.95	53212.46000000001	75555.17	87124.01999999999	73959.54000000001	72681.26000000001	53314.7	55664.94	56832.31	44620.17	43025.64	38592.65	54530.99	47458.5	66034.35	54362.67999999999	61739.43	39916.65	62520.96000000001	62506.73	58792.87	56823.72	64946.42	66069.23000000001	64259.64	63635.01	41944.82	68875.17	58963.95	64882.24	79714.94	66825.48000000001	76312.3	68778.21	73685.70999999999	93573.26	97614.56	85942.04999999999	91415.18	74812.16	75309.04000000001	73364.02	118916.63999999998	86627.23	136624.57	106429.57	83290.37	119360.77	129159.34	102039.33	73599.07	125729.97	110421.15	134018.59	144728.06	124623.26	118434.99	159574.78999999998	31960.050000000003	101984.31	85289.76	94858.27	93535.81	158538.34	121106.62	90199.35	125659.35	102599.96	103876.87	113827.57	88741.11	107770.23	108663.13	83965.73000000001	62238.530000000006	61507.04	46071.03	67675.36	84623.05	57319.27	63550.59	51077.52	53264.08	48945.23	63745.94	102037.44	78157.09
EC:5.1.3.20	ADP-glyceromanno-heptose 6-epimerase	247.0	257.0	2472.0	204.5	4370.17	154.67	918.0	184.67	26.33	19.67	37.67	5.0	316.67	993.0	369.0	162.66000000000005	20.67	914.83	360.0	449.0	174.67000000000002	473.0	191.0	115.33	150.83	0.0	115.48	9.0	447.99	330.0	67.0	24.33	448.67	380.0	70.33	139.67000000000002	3185.66	91.0	251.0	19.67	211.0	163.71	559.0	97.5	12370.19	3575.5	3313.0	14905.5	2943.0	212.67	16805.0	16439.83	11502.0	9356.0	871.5	2840.83	8121.5	1411.67	3683.0	5913.0	8565.0	4776.4	347.0	2.0	9004.0	79.0	314.33000000000004	3905.33	4072.34	10484.0	404.17	3365.0	1247.0	1369.34	4050.0	531.0	1901.33	696.5	13070.16	12706.67	16543.33	5111.17	2977.9	9865.0	2739.83	1140.0	2302.08	3354.0	9479.67	9041.83	2763.66	826.67	5033.5	17521.84	11787.33
EC:5.1.3.22	L-ribulose-5-phosphate 3-epimerase	245.0	168.0	171.0	72.0	145.0	315.67	432.0	505.69	240.33	603.0999999999999	91.67	285.0	1092.67	1989.0	449.0	458.0	595.67	299.33	808.0	367.0	393.67	346.0	335.0	204.33	190.83	80.0	240.6	422.2	2082.83	537.0	169.0	196.33	484.67	115.0	156.32999999999998	169.67	4173.53	368.0	492.69	259.67	378.0	366.0	948.0	405.0	231.19	345.0	166.0	330.0	2570.03	198.67	300.0	555.3299999999999	1257.8	559.0	358.0	325.0	1400.0	908.67	640.0	399.0	808.0	7141.13	2105.0	158.0	1581.0	224.0	173.33	4231.53	2204.33	1029.67	716.21	954.0	487.0	821.6700000000001	1346.8	202.0	1031.0	3866.0	284.33	498.4	670.33	685.0	235.33	169.0	66.0	396.0	1313.93	173.0	304.67	76.33	531.33	426.0	457.0	1082.67	198.33
EC:5.1.3.23	UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase	34.0	539.0	38.0	33.0	156.87	49.67	78.0	85.0	24.0	138.5	61.0	177.0	24.0	36.0	66.0	382.0	62.3	0.0	113.67	337.0	51.0	278.0	26.0	159.0	83.0	23.0	33.0	13.0	19.33	104.0	65.0	49.0	15.0	17.0	245.0	90.0	114.0	1909.0	314.0	41.0	2413.67	323.0	374.0	69.0	100.0	2309.0	532.0	62.0	284.4	456.0	84.0	51.0	38.0	73.8	82.0	183.0	532.0	170.0	355.0	527.0	328.0	115.0	0.0	9.0	235.0	1.0	13.0	25.0	192.0	98.0	8.0	278.0	134.0	63.6	153.0	13.0	208.0	198.0	57.0	87.0	562.57	248.0	770.8	111.0	87.0	36.0	260.0	532.0	142.0	210.0	19.0	363.0	31.0	306.67	98.0
